englishWord,gaWord,wordType,category,level,sourcePage,reviewStatus,audioStatus,quizReady,storyReady,notes,sourceName
good afternoon,minaokoo,expression,Greetings,Foundation,31,Approved,Not Started,true,true,Verified from scanned dictionary page 31,Kasahorow Ga Children's Dictionary
minute,miniti,noun,Time,Foundation,31,Approved,Not Started,true,false,Verified from scanned dictionary page 31,Kasahorow Ga Children's Dictionary
lawyer,mlalelɔ,noun,Professions,Foundation,31,Approved,Not Started,true,true,Verified from scanned dictionary page 31,Kasahorow Ga Children's Dictionary
leopard,mlantswi,noun,Animals,Foundation,31,Approved,Not Started,true,true,Verified from scanned dictionary page 31,Kasahorow Ga Children's Dictionary
anger,mlihu,noun,Feelings,Foundation,31,Approved,Not Started,true,true,Verified from scanned dictionary page 31,Kasahorow Ga Children's Dictionary
kindness,mlihile,noun,Feelings,Foundation,31,Approved,Not Started,true,true,Verified from scanned dictionary page 31,Kasahorow Ga Children's Dictionary
oil,mu,noun,Objects,Foundation,31,Approved,Not Started,true,false,Verified from scanned dictionary page 31,Kasahorow Ga Children's Dictionary
curtain,muhoo,noun,Objects,Foundation,31,Approved,Not Started,true,true,Verified from scanned dictionary page 31,Kasahorow Ga Children's Dictionary
stomach,musu,noun,Body,Foundation,31,Approved,Not Started,true,true,Verified from scanned dictionary page 31,Kasahorow Ga Children's Dictionary
peace,toinjɔlɛ,noun,Feelings,Foundation,31,Approved,Not Started,true,true,Verified from scanned dictionary page 31,Kasahorow Ga Children's Dictionary
mouth,naabu,noun,Body,Foundation,31,Approved,Not Started,true,true,Verified from scanned dictionary page 31,Kasahorow Ga Children's Dictionary
lip,naa,noun,Body,Foundation,31,Approved,Not Started,true,true,Verified from scanned dictionary page 31,Kasahorow Ga Children's Dictionary
friend,naanyo,noun,People,Foundation,31,Approved,Not Started,true,true,Verified from scanned dictionary page 31,Kasahorow Ga Children's Dictionary
grandchild,nabi,noun,Family,Foundation,32,Approved,Not Started,true,true,Verified from scanned dictionary page 32,Kasahorow Ga Children's Dictionary
grandson,nabi nuu,noun,Family,Foundation,32,Approved,Not Started,true,true,Verified from scanned dictionary page 32,Kasahorow Ga Children's Dictionary
granddaughter,nabi yoo,noun,Family,Foundation,32,Approved,Not Started,true,true,Verified from scanned dictionary page 32,Kasahorow Ga Children's Dictionary
that,nakai,determiner,Grammar,Foundation,32,Approved,Not Started,true,true,Verified from scanned dictionary page 32,Kasahorow Ga Children's Dictionary
knee,nakutso,noun,Body,Foundation,32,Approved,Not Started,true,true,Verified from scanned dictionary page 32,Kasahorow Ga Children's Dictionary
who,namɔ,pronoun,Grammar,Foundation,32,Approved,Not Started,true,true,Verified from scanned dictionary page 32,Kasahorow Ga Children's Dictionary
